,Comparison,Metric,Segment,value
230,GTvsDLB,Hausdorff,submandibular_merged,6.187208076400614
231,GTvsDLB,LineRatio,submandibular_merged,0.6162777560056477
232,GTvsDLB,MSD,submandibular_merged,0.2028688019466447
233,GTvsDLB,VolumeRatio,submandibular_merged,0.0998936392510113
234,GTvsATLAS,DICE,thyroid,0.5828724017050096
235,GTvsATLAS,EPL,thyroid,2226.7769281914893
236,GTvsATLAS,Hausdorff,thyroid,18.933806195760244
237,GTvsATLAS,LineRatio,thyroid,0.8758958515660893
238,GTvsATLAS,MSD,thyroid,1.9662269179285459
239,GTvsATLAS,VolumeRatio,thyroid,0.2551116047987603
240,GTvsDL,DICE,thyroid,0.828673680903786
241,GTvsDL,EPL,thyroid,1865.9260926177535
242,GTvsDL,Hausdorff,thyroid,10.033918061088016
243,GTvsDL,LineRatio,thyroid,0.7063346854388208
244,GTvsDL,MSD,thyroid,0.42323450534183954
245,GTvsDL,VolumeRatio,thyroid,0.15125049573288
246,GTvsDLB,DICE,thyroid,0.8610436855882676
247,GTvsDLB,EPL,thyroid,1725.052055027174
248,GTvsDLB,Hausdorff,thyroid,11.69392638479004
249,GTvsDLB,LineRatio,thyroid,0.6441278072979097
250,GTvsDLB,MSD,thyroid,0.31198896681663857
251,GTvsDLB,VolumeRatio,thyroid,0.11999152360841411
252,GTvsATLAS,DICE,brainstem_1,
253,GTvsATLAS,EPL,brainstem_1,
254,GTvsATLAS,Hausdorff,brainstem_1,
255,GTvsATLAS,LineRatio,brainstem_1,
256,GTvsATLAS,MSD,brainstem_1,
257,GTvsATLAS,VolumeRatio,brainstem_1,
258,GTvsDL,DICE,brainstem_1,0.8460396443525003
259,GTvsDL,EPL,brainstem_1,712.0648276969179
260,GTvsDL,Hausdorff,brainstem_1,7.5794434802621895
261,GTvsDL,LineRatio,brainstem_1,0.37071508751836496
262,GTvsDL,MSD,brainstem_1,0.39857238905444836
263,GTvsDL,VolumeRatio,brainstem_1,0.07015755865927491
264,GTvsDLB,DICE,brainstem_1,0.9074837820372275
265,GTvsDLB,EPL,brainstem_1,517.3004601883562
266,GTvsDLB,Hausdorff,brainstem_1,5.447214085554969
267,GTvsDLB,LineRatio,brainstem_1,0.2659647335292576
268,GTvsDLB,MSD,brainstem_1,0.15518011347911467
269,GTvsDLB,VolumeRatio,brainstem_1,0.030519463526788842
270,GTvsATLAS,DICE,esophagus_1,0.5759089874926485
271,GTvsATLAS,EPL,esophagus_1,812.647216796875
272,GTvsATLAS,Hausdorff,esophagus_1,22.53404791429361
273,GTvsATLAS,LineRatio,esophagus_1,0.5656652992057971
274,GTvsATLAS,MSD,esophagus_1,2.5308696126736296
275,GTvsATLAS,VolumeRatio,esophagus_1,0.2247479007989582
276,GTvsDL,DICE,esophagus_1,0.718374367153458
277,GTvsDL,EPL,esophagus_1,484.00607944542253
278,GTvsDL,Hausdorff,esophagus_1,19.191921513748156
279,GTvsDL,LineRatio,esophagus_1,0.3163335215122341
280,GTvsDL,MSD,esophagus_1,1.733886727125043
281,GTvsDL,VolumeRatio,esophagus_1,0.12834529917829332
282,GTvsDLB,DICE,esophagus_1,0.8735841271025009
283,GTvsDLB,EPL,esophagus_1,255.83527728873239
284,GTvsDLB,Hausdorff,esophagus_1,9.790247103485862
285,GTvsDLB,LineRatio,esophagus_1,0.15969404582768268
286,GTvsDLB,MSD,esophagus_1,0.21761436212668192
287,GTvsDLB,VolumeRatio,esophagus_1,0.030011100521667982
288,GTvsATLAS,DICE,eyeback_merged_1,
289,GTvsATLAS,EPL,eyeback_merged_1,
290,GTvsATLAS,Hausdorff,eyeback_merged_1,
291,GTvsATLAS,LineRatio,eyeback_merged_1,
292,GTvsATLAS,MSD,eyeback_merged_1,
293,GTvsATLAS,VolumeRatio,eyeback_merged_1,
294,GTvsDL,DICE,eyeback_merged_1,0.6681186266022219
295,GTvsDL,EPL,eyeback_merged_1,640.4075520833334
296,GTvsDL,Hausdorff,eyeback_merged_1,14.109485761386903
297,GTvsDL,LineRatio,eyeback_merged_1,0.5095304211685104
298,GTvsDL,MSD,eyeback_merged_1,2.3126166498158307
299,GTvsDL,VolumeRatio,eyeback_merged_1,0.2694023821659007
300,GTvsDLB,DICE,eyeback_merged_1,0.8804930397146247
301,GTvsDLB,EPL,eyeback_merged_1,267.1976207386364
302,GTvsDLB,Hausdorff,eyeback_merged_1,4.950658088528209
303,GTvsDLB,LineRatio,eyeback_merged_1,0.20706752287523908
304,GTvsDLB,MSD,eyeback_merged_1,0.19594806576638907
305,GTvsDLB,VolumeRatio,eyeback_merged_1,0.0374828479328249
306,GTvsATLAS,DICE,eyefront_merged_1,
307,GTvsATLAS,EPL,eyefront_merged_1,
308,GTvsATLAS,Hausdorff,eyefront_merged_1,
309,GTvsATLAS,LineRatio,eyefront_merged_1,
310,GTvsATLAS,MSD,eyefront_merged_1,
311,GTvsATLAS,VolumeRatio,eyefront_merged_1,
312,GTvsDL,DICE,eyefront_merged_1,0.35589267427196647
313,GTvsDL,EPL,eyefront_merged_1,516.8583333333333
314,GTvsDL,Hausdorff,eyefront_merged_1,35.41651215623993
315,GTvsDL,LineRatio,eyefront_merged_1,0.7284859265989464
316,GTvsDL,MSD,eyefront_merged_1,8.205725925139781
317,GTvsDL,VolumeRatio,eyefront_merged_1,0.5487433317854741
318,GTvsDLB,DICE,eyefront_merged_1,0.8073114671038923
319,GTvsDLB,EPL,eyefront_merged_1,230.6931818181818
320,GTvsDLB,Hausdorff,eyefront_merged_1,5.444935940091822
321,GTvsDLB,LineRatio,eyefront_merged_1,0.23366507549847668
322,GTvsDLB,MSD,eyefront_merged_1,0.4341668561392835
323,GTvsDLB,VolumeRatio,eyefront_merged_1,0.0292503031871698
324,GTvsATLAS,DICE,lips_1,0.6022817752256161
325,GTvsATLAS,EPL,lips_1,1068.6577734375
326,GTvsATLAS,Hausdorff,lips_1,14.325039856248981
327,GTvsATLAS,LineRatio,lips_1,0.5189231909814443
328,GTvsATLAS,MSD,lips_1,1.550580593656094
329,GTvsATLAS,VolumeRatio,lips_1,0.155548228731252
330,GTvsDL,DICE,lips_1,0.6345457896882111
331,GTvsDL,EPL,lips_1,1027.949245505137
332,GTvsDL,Hausdorff,lips_1,17.161108362189516
333,GTvsDL,LineRatio,lips_1,0.4933976232259985
334,GTvsDL,MSD,lips_1,1.6373965287680379
335,GTvsDL,VolumeRatio,lips_1,0.21910120574048778
336,GTvsDLB,DICE,lips_1,0.8492434370505868
337,GTvsDLB,EPL,lips_1,492.0813623715753
338,GTvsDLB,Hausdorff,lips_1,7.431278876850111
339,GTvsDLB,LineRatio,lips_1,0.23166222150385243
340,GTvsDLB,MSD,lips_1,0.3257416656798381
341,GTvsDLB,VolumeRatio,lips_1,0.05396019623894786
342,GTvsATLAS,DICE,mandible_1,0.859823988449546
343,GTvsATLAS,EPL,mandible_1,1313.8032924107142
344,GTvsATLAS,Hausdorff,mandible_1,23.71252252483955
345,GTvsATLAS,LineRatio,mandible_1,0.17745001780578
346,GTvsATLAS,MSD,mandible_1,0.6556876936552022
347,GTvsATLAS,VolumeRatio,mandible_1,0.04890938514384046
348,GTvsDL,DICE,mandible_1,0.906322466696042
349,GTvsDL,EPL,mandible_1,695.39013671875
350,GTvsDL,Hausdorff,mandible_1,17.833450435667913
351,GTvsDL,LineRatio,mandible_1,0.08895809266735169
352,GTvsDL,MSD,mandible_1,0.4193055975300484
353,GTvsDL,VolumeRatio,mandible_1,0.02537921263579517
354,GTvsDLB,DICE,mandible_1,0.9184903291692853
355,GTvsDLB,EPL,mandible_1,599.8956976996528
356,GTvsDLB,Hausdorff,mandible_1,15.018161715601941
357,GTvsDLB,LineRatio,mandible_1,0.07624885272028276
358,GTvsDLB,MSD,mandible_1,0.223056847197
359,GTvsDLB,VolumeRatio,mandible_1,0.022390865618943264
360,GTvsATLAS,DICE,opticNerve_merged_1,
361,GTvsATLAS,EPL,opticNerve_merged_1,
362,GTvsATLAS,Hausdorff,opticNerve_merged_1,
363,GTvsATLAS,LineRatio,opticNerve_merged_1,
364,GTvsATLAS,MSD,opticNerve_merged_1,
365,GTvsATLAS,VolumeRatio,opticNerve_merged_1,
366,GTvsDL,DICE,opticNerve_merged_1,
367,GTvsDL,EPL,opticNerve_merged_1,
368,GTvsDL,Hausdorff,opticNerve_merged_1,
369,GTvsDL,LineRatio,opticNerve_merged_1,
